Category,Sub-Category,EndpointUri,Method,Function,Complete,Notes
ApplicationInventory,Counters,/application-inventory-counts,GET,Deprecated,N\A,Deprecated
ApplicationInventory,Grouped App Inventory ,/application-inventory,GET,Deprecated,N\A,Deprecated
ApplicationRisk,Export Applications,/export/installed-applications,GET,Export-S1Applications,YES,"Figure out the ""installedAt__between"" parameter"
ApplicationRisk,Get Applications,/installed-applications,GET,Get-S1Applications,YES,"Figure out the ""installedAt__between"" parameter"
ApplicationRisk,Get Cves,/installed-applications/cves,GET,Get-S1ApplicationCVEs,YES,
AutoUpgradePolicy,Create Policy,/upgrade-policy/policy,POST,,NO,
AutoUpgradePolicy,Deactivate Policies,/upgrade-policy/policies,POST,,NO,
AutoUpgradePolicy,Get Parent Policies,/upgrade-policy/policies-count,GET,Get-S1AutoUpgradePolicy,Kinda,No documentation for this endpoint or its parameters
AutoUpgradePolicy,Get Policies,/upgrade-policy/policies,GET,Get-S1AutoUpgradePolicy,Kinda,No documentation for this endpoint or its parameters
AutoUpgradePolicy,Has Policy,/upgrade-policy/has-policy,POST,,NO,
AutoUpgradePolicy,Policy Action,/upgrade-policy/policy/:policyid,POST,,NO,
AutoUpgradePolicy,Reorder Policies,/upgrade-policy/reorder,PUT,,NO,
AutoUpgradePolicy,Set Scope Inheriting,/upgrade-policy/set-inheriting,PUT,,NO,
AutoUpgradePolicy,Update Policy,/upgrade-policy/policy/:policyid,PUT,,NO,
ConfigOverrides,Create Config Override,/config-override,POST,,NO,
ConfigOverrides,Delete Config Override,/config-override/{override_id},DELETE,,NO,
ConfigOverrides,Delete Config Overrides,/config-override,DELETE,,NO,
ConfigOverrides,Get Config Overrides,/config-override,GET,Get-S1ConfigOverrides,Kinda,"No agents with config overrides to test against, but no known errors in parameters"
ConfigOverrides,Update Config Override,/config-override/{override_id},PUT,,NO,
CustomDetectionRule,Activate Rules,/cloud-detection/rules/enable,PUT,,NO,
CustomDetectionRule,Create Rule,/cloud-detection/rules,POST,,NO,
CustomDetectionRule,Delete Rules,/cloud-detection/rules,DELETE,,NO,
CustomDetectionRule,Disable Rules,/cloud-detection/rules/disable,PUT,,NO,
CustomDetectionRule,Get Rules,/cloud-detection/rules,GET,Get-S1CustomDetectionRules,Kinda,Cannot fully validate due to permissions
CustomDetectionRule,Update Rule,/cloud-detection/rules/{rule_id},PUT,,NO,
DeepVisibility,Cancel Running Query,/dv/cancel-query,POST,,NO,
DeepVisibility,Create A Power Query And Get Queryid,/dv/events/pq,POST,,NO,
DeepVisibility,Create Query And Get Queryid,/dv/init-query,POST,,NO,
DeepVisibility,Download Source Process File,/dv/fetch-file,GET,Export-S1DeepVisibilityProcessFile,Kinda,Cannot fully validate due to permissions
DeepVisibility,Get Events,/dv/events,GET,Get-S1DeepVisibilityEvents,Kinda,Cannot fully validate due to permissions
DeepVisibility,Get Events By Type,/dv/events/{event_type},GET,Get-S1DeepVisibilityEvents,Kinda,Cannot fully validate due to permissions
DeepVisibility,Get Process State,/dv/process-state,GET,Get-S1DeepVisibilityProcessState,Kinda,Cannot fully validate due to permissions
DeepVisibility,Get Query Status,/dv/query-status,GET,Get-S1DeepVisibilityQueryStatus,Kinda,Cannot fully validate due to permissions
DeepVisibility,Ping A Power Query If Results Haven't Been Retrieved,/dv/events/pq-ping,GET,Get-S1DeepVisibilityPowerQueryPing,Kinda,Cannot fully validate due to permissions
DeviceControl,Copy Rules,/device-control/copy-rules,POST,,NO,
DeviceControl,Create Device Control Rule,/device-control,POST,,NO,
DeviceControl,Delete Rules,/device-control,DELETE,,NO,
DeviceControl,Enable/disable Rules,/device-control/enable,PUT,,NO,
DeviceControl,Export Rules,/device-control/export,GET,Export-S1DeviceControlRules,YES,
DeviceControl,Get Configuration,/device-control/configuration,GET,Get-S1DeviceControlConfiguration,YES,
DeviceControl,Get Device Control Events,/device-control/events,GET,Get-S1DeviceControlEvents,YES,"The ""access_permissions"" parameter does not work [ ""dict_values(['accessPermissions']): Unknown field"" ]"
DeviceControl,Get Device Rules,/device-control,GET,Get-S1DeviceControlRules,YES,
DeviceControl,Move Rules,/device-control/move-rules,POST,,NO,
DeviceControl,Reorder Rules,/device-control/reorder,PUT,,NO,
DeviceControl,Update Configuration,/device-control/configuration,PUT,,NO,
DeviceControl,Update Device Rule,/device-control/{rule_id},PUT,,NO,
ExclusionsAndBlacklist,Create Blacklist Item,/restrictions,POST,,NO,
ExclusionsAndBlacklist,Create Exclusion,/exclusions,POST,,NO,
ExclusionsAndBlacklist,Delete Blacklist Item,/restrictions,DELETE,,NO,
ExclusionsAndBlacklist,Delete Exclusions,/exclusions,DELETE,,NO,
ExclusionsAndBlacklist,Export Blacklist,/export/restrictions,GET,Export-S1Blacklists,YES,
ExclusionsAndBlacklist,Export Exclusions,/export/exclusions,GET,Export-S1Exclusions,YES,
ExclusionsAndBlacklist,Get Blacklist,/restrictions,GET,Get-S1Blacklists,YES,
ExclusionsAndBlacklist,Get Exclusions,/exclusions,GET,Get-S1Exclusions,YES,
ExclusionsAndBlacklist,Update Blacklist Item,/restrictions,PUT,,NO,
ExclusionsAndBlacklist,Update Exclusions,/exclusions,PUT,,NO,
ExclusionsAndBlacklist,Validate Blacklist Item,/restrictions/validate,POST,,NO,
ExclusionsAndBlacklist,Validate Exclusion Item,/exclusions/validate,POST,,NO,
Filters,Delete Deep Visibility Filter,/filters/dv/{filter_id},DELETE,,NO,
Filters,Delete Filter,/filters/{filter_id},DELETE,,NO,
Filters,Get Deep Visibility Filters,/filters/dv,GET,Get-S1Filters,Kinda,Cannot fully validate due to permissions
Filters,Get Filters,/filters,GET,Get-S1Filters,Yes,
Filters,Save Deep Visibility Filter,/filters/dv,POST,,NO,
Filters,Save Filter,/filters,POST,,NO,
Filters,Update Deep Visibility Filter,/filters/dv/{filter_id},PUT,,NO,
Filters,Update Filter,/filters/{filter_id},PUT,,NO,
Filters,Upload Csv File,/filters/csv-filter,POST,,NO,
FirewallControl,Add Rule Tags,/firewall-control/add-tags,POST,,NO,
FirewallControl,Copy Rules,/firewall-control/copy-rules,POST,,NO,
FirewallControl,Create Firewall Rule,/firewall-control,POST,,NO,
FirewallControl,Delete Rules,/firewall-control,DELETE,,NO,
FirewallControl,Enable/disable Rules,/firewall-control/enable,PUT,,NO,
FirewallControl,Export Rules,/firewall-control/export,GET,Export-S1FirewallRules,Yes,
FirewallControl,Get Configuration,/firewall-control/configuration,GET,Get-S1FirewallConfig,Yes,
FirewallControl,Get Firewall Rules,/firewall-control,GET,Get-S1FirewallRules,Yes,
FirewallControl,Get Protocols,/firewall-control/protocols,GET,Get-S1FirewallProtocols,Yes,
FirewallControl,Get Tag Firewall Rules,/firewall-control/tag-rules/{tag_id},GET,Get-S1FirewallRulesByTag,Yes,"Maybe combine this function with the ""Get-S1FirewallRules"" function"
FirewallControl,Import Rules,/firewall-control/import,POST,,NO,
FirewallControl,Move Rules,/firewall-control/move-rules,POST,,NO,
FirewallControl,Remove Rule Tags,/firewall-control/remove-tags,POST,,NO,
FirewallControl,Reorder Rules,/firewall-control/reorder,PUT,,NO,
FirewallControl,Set Location,/firewall-control/set-location,POST,,NO,
FirewallControl,Update Configuration,/firewall-control/configuration,PUT,,NO,
FirewallControl,Update Firewall Rule,/firewall-control/{firewall_rule_category},PUT,,NO,
Forensics,Application Connections,/applications/{application_id}/forensics/connections,GET,Deprecated,N\A,Deprecated
Forensics,Application Forensics,/applications/{application_id}/forensics,GET,Deprecated,N\A,Deprecated
Forensics,Application Forensics - Detailed,/applications/{application_id}/forensics/details,GET,Deprecated,N\A,Deprecated
Forensics,Export Application,/applications/{application_id}/forensics/export/{export_format},GET,Deprecated,N\A,Deprecated
Gateways,Get Gateways,/ranger/gateways,GET,Get-S1Gateways,Kinda,Cannot fully validate due to permissions
Gateways,Update Gateway,/ranger/gateways/{gateway_id},PUT,,NO,
Gateways,Update Gateways,/ranger/gateways/update,POST,,NO,
Groups,Create Group,/groups,POST,,NO,
Groups,Delete Group,/groups/{group_id},DELETE,,NO,
Groups,Get Group By Id,/groups/{group_id},GET,Get-S1Groups,YES,
Groups,Get Groups,/groups,GET,Get-S1Groups,YES,
Groups,Move Agents,/groups/{group_id}/move-agents,PUT,,NO,
Groups,Regenerate Group Token,/groups/{group_id}/regenerate-key,PUT,,NO,
Groups,Revert Policy,/groups/{group_id}/revert-policy,PUT,,NO,
Groups,Update Group,/groups/{group_id},PUT,,NO,
Groups,Update Ranks,/groups/ranks,PUT,,NO,
Hashes,Hash Classification,/hashes/{hash}/classification,GET,Deprecated,N\A,Deprecated
Hashes,Hash Reputation,/hashes/{hash}/reputation,GET,Get-S1HashReputation,YES,
Internal,,,POST,Add-S1APIKey,YES,
Internal,,,GET,Get-S1APIKey,YES,
Internal,,,DELETE,Remove-S1APIKey,YES,
Internal,,,GET,Test-S1APIKey,YES,
Internal,,,POST,Add-S1BaseURI,YES,
Internal,,,GET,Get-S1BaseURI,YES,
Internal,,,DELETE,Remove-S1BaseURI,YES,
Internal,,,GET,Export-S1ModuleSettings,YES,
Internal,,,PUT,Import-S1ModuleSettings,YES,
Internal,,,DELETE,Remove-S1ModuleSettings,YES,
Licenses,Update Sites Add-ons,/licenses/update-site-modules,PUT,,NO,
Locations,Create Location,/locations,POST,,NO,
Locations,Delete Locations,/locations,DELETE,,NO,
Locations,Get Locations,/locations,GET,Get-S1Locations,YES,
Locations,Update Location,/locations/{location_id},PUT,,NO,
Marketplace,Delete Application,/singularity-marketplace/applications,DELETE,,NO,
Marketplace,Enable Or Disable Application,/singularity-marketplace/applications/{mode},POST,,NO,
Marketplace,Get Applications Catalog,/singularity-marketplace/applications-catalog,GET,Get-S1MarketplaceAppCatalog,YES,
Marketplace,Get Configuration Fields,/singularity-marketplace/applications-catalog/{application_catalog_id}/config,GET,Get-S1MarketplaceAppConfigFields,YES,
Marketplace,Get Configuration Fields For Catalog Application,/singularity-marketplace/applications/{application_id}/config,GET,Get-S1MarketplaceAppConfigSchema,Kinda,Cannot fully validate due to permissions
Marketplace,Get Installed Applications,/singularity-marketplace/applications,GET,Get-S1MarketplaceAppInstalls,YES,"The ""scopes"" parameter returns a 500 error and appears to be bugged as it does it in the management portal as well."
Marketplace,Install Applications,/singularity-marketplace/applications,POST,,NO,
Marketplace,Update Application Configuration,/singularity-marketplace/applications,PUT,,NO,
NetworkQuarantineControl,Add Rule Tags,/firewall-control/{firewall_rule_category}/add-tags,POST,,NO,
NetworkQuarantineControl,Copy Rules,/firewall-control/{firewall_rule_category}/copy-rules,POST,,NO,
NetworkQuarantineControl,Create Firewall Rule,/firewall-control/{firewall_rule_category},POST,,NO,
NetworkQuarantineControl,Delete Rules,/firewall-control/{firewall_rule_category},DELETE,,NO,
NetworkQuarantineControl,Enable/disable Rules,/firewall-control/{firewall_rule_category}/enable,PUT,,NO,
NetworkQuarantineControl,Export Rules,/firewall-control/{firewall_rule_category}/export,GET,Export-S1FirewallCategoryRules,YES,
NetworkQuarantineControl,Get Configuration,/firewall-control/{firewall_rule_category}/configuration,GET,Get-S1FirewallCategoryConfig,YES,
NetworkQuarantineControl,Get Firewall Rules,/firewall-control/{firewall_rule_category},GET,Get-S1FirewallCategoryRules,YES,
NetworkQuarantineControl,Get Protocols,/firewall-control/{firewall_rule_category}/protocols,GET,Get-S1FirewallCategoryProtocols,YES,
NetworkQuarantineControl,Import Rules,/firewall-control/{firewall_rule_category}/import,POST,,NO,
NetworkQuarantineControl,Move Rules,/firewall-control/{firewall_rule_category}/move-rules,POST,,NO,
NetworkQuarantineControl,Remove Rule Tags,/firewall-control/{firewall_rule_category}/remove-tags,POST,,NO,
NetworkQuarantineControl,Reorder Rules,/firewall-control/{firewall_rule_category}/reorder,PUT,,NO,
NetworkQuarantineControl,Set Location,/firewall-control/{firewall_rule_category}/set-location,POST,,NO,
NetworkQuarantineControl,Update Configuration,/firewall-control/{firewall_rule_category}/configuration,PUT,,NO,
Policies,Account Policy,/accounts/{account_id}/policy,GET,Get-S1Policies,YES,
Policies,Global Policy,/tenant/policy,GET,Get-S1Policies,YES,
Policies,Group Policy,/groups/{group_id}/policy,GET,Get-S1Policies,YES,
Policies,Site Policy,/sites/{site_id}/policy,GET,Get-S1Policies,YES,
Policies,Update Account Policy,/accounts/{account_id}/policy,PUT,,NO,
Policies,Update Global Policy,/tenant/policy,PUT,,NO,
Policies,Update Group Policy,/groups/{group_id}/policy,PUT,,NO,
Policies,Update Site Policy,/sites/{site_id}/policy,PUT,,NO,
Ranger,Change Device Review,/ranger/device-review/{inventory_id},PUT,,NO,
Ranger,Change Device Review In Bulk,/ranger/device-review,POST,,NO,
Ranger,Change Device Tags,/ranger/tags,POST,,NO,
Ranger,Export Json Raw Data,/ranger/{inventory_id}/json/export,GET,Export-S1Rangers,Kinda,Cannot fully validate due to permissions and licensing
Ranger,Export Ranger Data,/ranger/report/csv,GET,Export-S1Rangers,Kinda,Cannot fully validate due to permissions and licensing
Ranger,Get Ranger Settings,/ranger/settings,GET,Get-S1RangerSettings,Kinda,Cannot fully validate due to permissions and licensing
Ranger,Get Ranger Table,/ranger/table-view,GET,Get-S1RangerTables,Kinda,Cannot fully validate due to permissions and licensing
Ranger,Json Raw Data,/ranger/{inventory_id}/json,GET,Get-S1Rangers,Kinda,Cannot fully validate due to permissions and licensing
Ranger,Update Ranger Settings,/ranger/settings,PUT,,NO,
RangerDeploy,Add Cred Details,/ranger/cred-groups/details,POST,,NO,
RangerDeploy,Create Cred Group,/ranger/cred-groups,POST,,NO,
RangerDeploy,Delete Cred Group,/ranger/cred-groups/{cred_group_id},DELETE,,NO,
RangerDeploy,Delete Cred Group Detail,/ranger/cred-groups/details/{detail_id},DELETE,,NO,
RangerDeploy,Get Cred Group Details,/ranger/cred-groups/details,GET,Get-S1RangerDeployCredGroups,Kinda,Cannot fully validate due to permissions and licensing
RangerDeploy,Get Cred Groups,/ranger/cred-groups,GET,Get-S1RangerDeployCredGroups,Kinda,Cannot fully validate due to permissions and licensing
RangerDeploy,Update Cred Group Details,/ranger/cred-groups/details/{detail_id},PUT,,NO,
RangerSelfEnablement,Change Feature Defaults For New Sites,/ranger/enablement/defaults,POST,,NO,
RangerSelfEnablement,Change Ranger Or Rogues Features,/ranger/enablement,POST,,NO,
RangerSelfEnablement,Change The Self-enablement For Accounts,/ranger/enable-self-management,POST,,NO,
RangerSelfEnablement,Features Configuration For New Sites,/ranger/enablement/defaults,GET,Get-S1RangerEnablementDefaults,Kinda,Cannot fully validate due to permissions and licensing
RangerSelfEnablement,Get Self Enablement,/ranger/enablement,GET,Get-S1RangerEnablements,Kinda,Cannot fully validate due to permissions and licensing
RBAC,Create New Role,/rbac/role,POST,,NO,
RBAC,Delete Role,/rbac/role/{role_id},DELETE,,NO,
RBAC,Get All Roles,/rbac/roles,GET,Get-S1RBACRoles,YES,
RBAC,Get Specific Role Definition,/rbac/role/{role_id},GET,Get-S1RBACRoles,YES,
RBAC,Get Template For New Role,/rbac/role,GET,Get-S1RBACRoleTemplate,YES,
RBAC,Update Role,/rbac/role/{role_id},PUT,,NO,
RemoteScriptOrchestration,Delete Scripts,/remote-scripts,DELETE,,NO,
RemoteScriptOrchestration,Get Remote Scripts Tasks Status,/remote-scripts/status,GET,Get-S1RemoteScripts,Kinda,Cannot fully validate due to permissions and licensing
RemoteScriptOrchestration,Get Script Results,/remote-scripts/fetch-files,POST,,NO,
RemoteScriptOrchestration,Get Scripts,/remote-scripts,GET,Get-S1RemoteScriptStatus,Kinda,Cannot fully validate due to permissions and licensing
RemoteScriptOrchestration,Run Remote Script,/remote-scripts/execute,POST,,NO,
RemoteScriptOrchestration,Update A Script,/remote-scripts/{script_id},PUT,,NO,
RemoteScriptOrchestration,Upload New Script,/remote-scripts,POST,,NO,
Reports,Create Report Task,/report-tasks,POST,,NO,
Reports,Delete Report Tasks,/reports/delete-tasks,POST,,NO,
Reports,Delete Reports,/reports/delete-reports,POST,,NO,
Reports,Download Report,/reports/{report_id}/{report_format},GET,Export-S1Reports,YES,
Reports,Get Insight Reports,/reports/insights/types,GET,Get-S1ReportInsights,YES,
Reports,Get Report Tasks,/report-tasks,GET,Get-S1ReportTasks,YES,
Reports,Get Reports,/reports,GET,Get-S1Reports,YES,
Reports,S1 Rss Feed,/sentinelonerss,GET,Get-S1RSSFeeds,YES,
Reports,Update Report Task,/report-tasks/{task_id},PUT,,NO,
Rouges,Export Rogues Data,/rogues/report/csv,GET,Export-S1Rogues,Kinda,Cannot fully validate due to permissions and licensing
Rouges,Get Rogues Settings,/rogues/settings,GET,Get-S1RogueSettings,Kinda,Cannot fully validate due to permissions and licensing
Rouges,Get Rogues Table,/rogues/table-view,GET,Get-S1RogueTables,Kinda,Cannot fully validate due to permissions and licensing
Rouges,Update Rogues Settings,/rogues/settings,PUT,,NO,
Settings,Clear Pending Emails,/settings/notifications/cancel-pending-emails,POST,,NO,
Settings,Delete Notification Recipient,/settings/recipients/{recipient_id},DELETE,,NO,
Settings,Get Ad Fqdns,/settings/active-directory/scope-mapping,GET,Get-S1Settings,Kinda,Cannot fully validate due to permissions and licensing
Settings,Get Ad Settings,/settings/active-directory,GET,Get-S1Settings,Kinda,Cannot fully validate due to permissions and licensing
Settings,Get Microsoft Settings,/settings/microsoft,GET,Deprecated,N\A,Deprecated
Settings,Get Notification Recipients,/settings/recipients,GET,Get-S1SettingEmailRecipients,Kinda,Cannot fully validate due to permissions and licensing
Settings,Get Notification Settings,/settings/notifications,GET,Get-S1Settings,Kinda,Cannot fully validate due to permissions and licensing
Settings,Get Sms Settings,/settings/sms,GET,Deprecated,N\A,Deprecated
Settings,Get Smtp Settings,/settings/smtp,GET,Get-S1Settings,Kinda,Cannot fully validate due to permissions and licensing
Settings,Get Sso Settings,/settings/sso,GET,Get-S1Settings,Kinda,Cannot fully validate due to permissions and licensing
Settings,Get Syslog Settings,/settings/syslog,GET,Get-S1Settings,Kinda,Cannot fully validate due to permissions and licensing
Settings,Set Ad Fqdns,/settings/active-directory/scope-mapping,PUT,,NO,
Settings,Set Ad Settings,/settings/active-directory,PUT,,NO,
Settings,Set Microsoft Settings,/settings/microsoft,PUT,,NO,Deprecated
Settings,Set Notification Recipients,/settings/recipients,PUT,,NO,
Settings,Set Notification Settings,/settings/notifications,PUT,,NO,
Settings,Set Sms Settings,/settings/sms,PUT,,NO,Deprecated
Settings,Set Smtp Settings,/settings/smtp,PUT,,NO,
Settings,Set Sso Settings,/settings/sso,PUT,,NO,
Settings,Set Syslog Settings,/settings/syslog,PUT,,NO,
Settings,Test Ad Settings,/settings/active-directory/test,POST,,NO,
Settings,Test Microsoft Settings,/settings/microsoft/test,POST,,NO,Deprecated
Settings,Test Smtp Settings,/settings/smtp/test,POST,,NO,
Settings,Test Sso Settings,/settings/sso/test,POST,,NO,
Settings,Test Syslog Settings,/settings/syslog/test,POST,,NO,
Sites,Create Duplicate Site,/sites/duplicate-site,POST,,NO,Deprecated
Sites,Create Site,/sites,POST,,NO,
Sites,Create Site And User,/site-with-admin,POST,,NO,
Sites,Delete Site,/sites/{site_id},DELETE,,NO,
Sites,Expire Site,/sites/{site_id}/expire-now,POST,,NO,
Sites,Export Sites,/export/sites,GET,Export-S1Sites,YES,
Sites,Get Site By Id,/sites/{site_id},GET,Get-S1Sites,YES,siteId parameter calls this Uri
Sites,Get Sites,/sites,GET,Get-S1Sites,YES,
Sites,Reactivate Site,/sites/{site_id}/reactivate,PUT,,NO,
Sites,Regenerate Site Key,/sites/{site_id}/regenerate-key,PUT,,NO,
Sites,Revert Policy,/sites/{site_id}/revert-policy,PUT,,NO,
Sites,Update Site,/sites/{site_id},PUT,,NO,
Sites,Update Sites,/sites/update-bulk,PUT,,NO,
System,Cache Status,/system/status/cache,GET,"Get-S1Systems,Get-S1SystemsOverview",YES,
System,Database Status,/system/status/db,GET,"Get-S1Systems,Get-S1SystemsOverview",YES,
System,Get System Config,/system/configuration,GET,Get-S1Systems,YES,
System,Set System Config,/system/configuration,PUT,,NO,
System,System Info,/system/info,GET,"Get-S1Systems,Get-S1SystemsOverview",YES,
System,System Status,/system/status,GET,"Get-S1Systems,Get-S1SystemsOverview",YES,
TagManager,Create A New Endpoint Tag,/tag-manager,POST,,NO,
TagManager,Delete Tags,/tag-manager,DELETE,,NO,
TagManager,Edit An Existing Tag,/tag-manager/{tag_id},PUT,,NO,
Tags,Create Tags,/tags,POST,,NO,
Tags,Delete Tag By Id,/tags/{tag_id},DELETE,,NO,
Tags,Delete Tags,/tags,DELETE,,NO,
Tags,Edit Tag,/tags/{tag_id},PUT,,NO,
Tags,Get Tags,/tags,GET,Get-S1Tags,Kinda,Cannot fully validate due to permissions and licensing
Tasks,Create Task,/tasks-configuration,PUT,,NO,
Tasks,Get Child Scope Task Configuration,/tasks-configuration/explicit-subscopes,GET,Get-S1TaskChildScopeConfigurations,Kinda,Look into merging all three functions into one
Tasks,Get Task Configuration,/tasks-configuration,GET,Get-S1TaskConfigurations,Kinda,Look into merging all three functions into one
Tasks,Has Child Scopes,/tasks-configuration/has-explicit-subscope,GET,Get-S1TaskHasChildScopes,Kinda,Look into merging all three functions into one
ThreatIntelligence,Create Iocs,/threat-intelligence/iocs,POST,,NO,
ThreatIntelligence,Delete Iocs,/threat-intelligence/iocs,DELETE,,NO,
ThreatIntelligence,Get Iocs,/threat-intelligence/iocs,GET,Get-S1ThreatIntelligence,YES,
ThreatNotes,Add Note To Multiple,/threats/notes,POST,,NO,
ThreatNotes,Delete Threat Note,/threats/{threat_id}/notes/{note_id},DELETE,,NO,
ThreatNotes,Get Threat Notes,/threats/{threat_id}/notes,GET,Get-S1ThreatNotes,YES,
ThreatNotes,Update Threat Note,/threats/{threat_id}/notes/{note_id},PUT,,NO,
Threats,Add To Blacklist,/threats/add-to-blacklist,POST,,NO,
Threats,Add To Blacklist (Deep Visibility),/threats/dv-add-to-blacklist,POST,,NO,
Threats,Add To Exclusions,/threats/add-to-exclusions,POST,,NO,
